,Country,Age,Gender,playlist_id,link,music_genre
839,Nigeria,0-17,female,spotify:playlist:2I8PspxH1iPlD0drBlKeEn,https://everynoise.com/everydemo.cgi?root=NG%200-17f&amp;gscope=all&amp;ascope=all,"['afropop', 'nigerian pop', 'azontobeats', 'afro dancehall', 'nigerian hip hop', 'afro r&b', 'alte', 'azonto', 'dancehall', 'afro soul', 'afroswing', 'amapiano', 'ghanaian hip hop', 'ghanaian pop', 'pop', 'pop rap', 'r&b', 'south african pop']"
840,Nigeria,0-17,male,spotify:playlist:7qlWjcrbYcL3LZ5kBoIviF,https://everynoise.com/everydemo.cgi?root=NG%200-17m&amp;gscope=all&amp;ascope=all,"['afropop', 'nigerian pop', 'azontobeats', 'afro dancehall', 'nigerian hip hop', 'uk hip hop', 'alte', 'afro r&b', 'afroswing', 'azonto', 'london rap', 'dancehall', 'ghanaian pop', 'grime', 'pop', 'pop rap', 'rap', 'afro soul', 'amapiano', 'dance pop', 'ghanaian hip hop', 'hip hop', 'r&b', 'south african pop', 'southern hip hop', 'uk drill']"
841,Nigeria,18-24,female,spotify:playlist:29pOEuGuowaOY3bTvP5B92,https://everynoise.com/everydemo.cgi?root=NG%2018-24f&amp;gscope=all&amp;ascope=all,"['afropop', 'nigerian pop', 'azontobeats', 'afro dancehall', 'naija worship', 'nigerian hip hop', 'alte', 'azonto', 'african gospel', 'christian afrobeat', 'ghanaian hip hop', 'naija old school', 'yoruba worship']"
842,Nigeria,18-24,male,spotify:playlist:4nZRWwj448rtaqYux09PpG,https://everynoise.com/everydemo.cgi?root=NG%2018-24m&amp;gscope=all&amp;ascope=all,"['nigerian pop', 'afropop', 'azontobeats', 'nigerian hip hop', 'afro dancehall', 'alte', 'afro drill', 'azonto']"
843,Nigeria,25-29,female,spotify:playlist:5H0MYInS4l5hwRv1xZocIq,https://everynoise.com/everydemo.cgi?root=NG%2025-29f&amp;gscope=all&amp;ascope=all,"['afropop', 'nigerian pop', 'azontobeats', 'afro dancehall', 'naija worship', 'nigerian hip hop', 'azonto', 'christian afrobeat', 'african gospel', 'alte', 'igbo pop', 'dancehall', 'ghanaian hip hop', 'naija old school']"
844,Nigeria,25-29,male,spotify:playlist:4KUecvuwyLeTQoAcWIxu7a,https://everynoise.com/everydemo.cgi?root=NG%2025-29m&amp;gscope=all&amp;ascope=all,"['nigerian pop', 'afropop', 'azontobeats', 'afro dancehall', 'nigerian hip hop', 'azonto', 'alte', 'igbo pop', 'naija worship']"
845,Nigeria,30-34,female,spotify:playlist:1nz5Z1gxI5Cspi53LIq7S7,https://everynoise.com/everydemo.cgi?root=NG%2030-34f&amp;gscope=all&amp;ascope=all,"['afropop', 'nigerian pop', 'azontobeats', 'afro dancehall', 'nigerian hip hop', 'naija worship', 'afro soul', 'alte', 'amapiano', 'south african pop', 'azonto', 'afro r&b', 'dancehall', 'ghanaian pop', 'afroswing', 'bongo flava', 'ghanaian hip hop', 'pop rap']"
846,Nigeria,30-34,male,spotify:playlist:3XxEiIkQt8QWlTjXhGGYFg,https://everynoise.com/everydemo.cgi?root=NG%2030-34m&amp;gscope=all&amp;ascope=all,"['nigerian pop', 'afropop', 'azontobeats', 'afro dancehall', 'nigerian hip hop', 'azonto', 'naija worship', 'alte', 'naija old school', 'igbo pop']"
847,Nigeria,35-44,female,spotify:playlist:2YwfdCYzOYzRSCEAuU6vj7,https://everynoise.com/everydemo.cgi?root=NG%2035-44f&amp;gscope=all&amp;ascope=all,"['afropop', 'nigerian pop', 'azontobeats', 'afro dancehall', 'naija worship', 'nigerian hip hop', 'azonto', 'afro r&b', 'afro soul', 'alte', 'amapiano', 'dancehall', 'south african pop', 'ghanaian hip hop', 'ghanaian pop']"
848,Nigeria,35-44,male,spotify:playlist:3UUtBMKIFKCsL2ypHkI10a,https://everynoise.com/everydemo.cgi?root=NG%2035-44m&amp;gscope=all&amp;ascope=all,"['afropop', 'nigerian pop', 'azontobeats', 'afro dancehall', 'naija worship', 'nigerian hip hop', 'azonto', 'igbo pop', 'highlife', 'naija old school', 'african gospel', 'alte', 'christian afrobeat', 'fuji']"
849,Nigeria,45-54,male,spotify:playlist:5QaVpaF2H8ikBGO7A6TQjj,https://everynoise.com/everydemo.cgi?root=NG%2045-54m&amp;gscope=all&amp;ascope=all,"['afropop', 'nigerian pop', 'azontobeats', 'afro dancehall', 'nigerian hip hop', 'alte', 'azonto', 'naija worship', 'afro soul', 'amapiano', 'dancehall', 'south african pop', 'afro r&b', 'afroswing', 'ghanaian hip hop', 'ghanaian pop']"
850,North Macedonia,18-24,female,spotify:playlist:1bIx2cYnHnRpMNnPnFs377,https://everynoise.com/everydemo.cgi?root=MK%2018-24f&amp;gscope=all&amp;ascope=all,"['albanian pop', 'turbo folk', 'albanian hip hop', 'kosovan pop', 'tallava', 'balkan trap', 'german hip hop', 'balkan hip hop', 'balkan drill', 'greek trap', 'serbian hip hop']"
851,North Macedonia,18-24,male,spotify:playlist:4j6Vvz8QPAvoji0aHLtpcW,https://everynoise.com/everydemo.cgi?root=MK%2018-24m&amp;gscope=all&amp;ascope=all,"['turbo folk', 'albanian pop', 'albanian hip hop', 'balkan trap', 'kosovan pop', 'serbian hip hop', 'balkan drill', 'balkan hip hop', 'macedonian hip hop', 'german hip hop', 'tallava', 'basshall', 'croatian hip hop']"
852,North Macedonia,25-29,female,spotify:playlist:5WLPCuIuKPqhnWUyhjXkPw,https://everynoise.com/everydemo.cgi?root=MK%2025-29f&amp;gscope=all&amp;ascope=all,"['albanian pop', 'albanian hip hop', 'kosovan pop', 'turbo folk', 'german hip hop', 'tallava']"
